alpha;1;2;3;4;5;6;7;8;9;10;11;12;13
65;1602;660;536;652746;31650;46506;578;324;322871718;77;97;107;107
66;1010;394;346;262109;32072;18963;635;314;322419674;70;90;97;98
67;1418;568;487;495836;32494;55427;627;299;322223658;94;122;131;131
68;1825;707;607;847385;32916;27884;627;282;321835621;53;72;79;80
69;1233;500;420;388545;33338;341;627;305;317543157;70;90;95;96
70;1641;666;539;664515;33760;36805;506;301;319907421;72;90;93;94
71;1049;429;360;265114;34182;9262;602;300;319903426;70;93;99;100
72;1456;584;492;509806;34604;45726;526;319;319835424;62;87;96;96
73;1864;749;648;857006;35026;18183;577;322;323031779;69;94;102;104
74;1272;523;408;395575;35448;54647;600;307;320339490;78;109;118;121
75;1679;680;555;700039;35870;27104;589;321;320079467;73;105;114;115
76;1087;437;360;289172;36292;63568;546;297;319307388;68;91;99;101
77;1495;622;512;544336;36714;36025;541;298;315270952;85;111;117;117
78;1902;752;607;939086;37136;8482;565;321;319683440;63;76;85;85
79;1310;524;422;438978;37558;44946;624;308;318015263;81;103;111;111
80;1718;706;591;743149;37980;17403;626;310;317755240;70;95;102;105
81;1126;469;347;322089;38402;53867;635;318;321911700;80;101;108;109
82;1533;608;507;584236;38824;26324;543;284;318003278;60;80;85;85
83;1941;795;638;941185;39246;62788;562;315;316655136;86;108;114;114
84;1349;511;449;443804;39668;35245;617;306;320363547;89;114;119;120
85;1756;700;563;767873;40090;7702;599;305;319399447;61;92;98;98
86;1164;435;379;347868;40512;44166;599;313;317411235;68;97;106;106
87;1572;607;506;627049;40934;16623;532;305;320479576;78;108;114;114
88;1980;818;641;990877;41356;53087;634;299;323163875;68;87;90;91
89;1387;548;463;485359;41778;25544;548;297;315351026;67;99;105;105
90;1795;762;606;801996;42200;62008;578;314;317971318;74;97;101;101
91;1203;509;398;357953;42622;34465;610;317;318031330;76;103;109;110
92;1610;658;534;638317;43044;6922;594;317;318091342;71;95;97;98
93;1018;407;330;262300;43466;43386;543;320;319239473;71;88;100;100
94;1426;574;485;517633;43888;15843;527;316;319811541;66;87;96;96
95;1834;745;601;857169;44310;52307;562;314;321343714;56;80;88;88
96;1241;511;421;386772;44732;24764;573;331;322683866;58;87;91;92
97;1649;672;539;672548;45154;61228;599;303;319863563;92;117;122;122
98;1057;408;343;284005;45576;33685;558;314;319987582;74;104;116;117
