reg;jour;P_f;P_h;P;T_f;T_h;T;cl_age90
06;2020-05-13;0;0;0;0;0;0;89
06;2020-05-13;0;0;0;0;0;0;90
06;2020-05-13;2;7;9;12;12;24;0
07;2020-05-13;0;0;0;0;0;0;09
07;2020-05-13;0;0;0;0;0;0;19
07;2020-05-13;0;0;0;0;0;0;29
07;2020-05-13;0;0;0;0;0;0;39
07;2020-05-13;0;0;0;0;0;0;49
07;2020-05-13;0;0;0;0;0;0;59
07;2020-05-13;0;0;0;0;0;0;69
07;2020-05-13;0;0;0;0;0;0;79
07;2020-05-13;0;0;0;0;0;0;89
07;2020-05-13;0;0;0;0;0;0;90
07;2020-05-13;0;0;0;0;0;0;0
08;2020-05-13;0;0;0;0;0;0;09
08;2020-05-13;0;0;0;0;0;0;19
08;2020-05-13;0;0;0;0;0;0;29
08;2020-05-13;0;0;0;1;0;1;39
08;2020-05-13;0;0;0;0;0;0;49
08;2020-05-13;0;0;0;0;0;0;59
08;2020-05-13;0;0;0;0;0;0;69
08;2020-05-13;0;0;0;0;0;0;79
08;2020-05-13;0;0;0;0;0;0;89
08;2020-05-13;0;0;0;0;0;0;90
08;2020-05-13;0;0;0;1;0;1;0
11;2020-05-13;2;3;5;94;126;225;09
11;2020-05-13;5;3;8;157;121;281;19
11;2020-05-13;18;11;29;575;393;971;29
11;2020-05-13;20;14;34;670;554;1228;39
11;2020-05-13;21;14;35;693;496;1189;49
11;2020-05-13;15;20;35;678;570;1249;59
11;2020-05-13;12;23;37;453;439;899;69
11;2020-05-13;9;17;26;317;333;655;79
11;2020-05-13;24;9;33;403;226;630;89
11;2020-05-13;36;5;41;324;76;400;90
11;2020-05-13;162;119;283;4423;3374;7832;0
24;2020-05-13;0;0;0;19;19;40;09
24;2020-05-13;1;0;1;22;26;49;19
24;2020-05-13;4;1;5;103;83;187;29
24;2020-05-13;3;2;5;104;94;198;39
24;2020-05-13;2;1;3;111;87;199;49
24;2020-05-13;2;2;4;111;101;213;59
24;2020-05-13;3;0;3;80;61;141;69
24;2020-05-13;0;3;3;53;62;115;79
24;2020-05-13;0;3;3;57;45;102;89
24;2020-05-13;3;0;3;42;19;61;90
24;2020-05-13;18;12;30;711;602;1319;0
27;2020-05-13;0;0;0;32;27;62;09
27;2020-05-13;1;0;1;35;29;65;19
27;2020-05-13;0;1;1;126;62;188;29
27;2020-05-13;1;0;1;146;93;239;39
27;2020-05-13;1;2;3;190;88;278;49
27;2020-05-13;0;0;0;213;105;318;59
27;2020-05-13;1;2;3;141;119;261;69
27;2020-05-13;4;1;5;82;84;167;79
27;2020-05-13;2;0;2;136;81;218;89
27;2020-05-13;0;3;3;86;28;114;90
27;2020-05-13;11;9;20;1208;719;1934;0
28;2020-05-13;0;0;0;29;37;68;09
28;2020-05-13;2;1;3;48;30;78;19
28;2020-05-13;1;4;5;94;75;169;29
28;2020-05-13;1;1;2;118;83;201;39
28;2020-05-13;2;1;3;105;83;188;49
28;2020-05-13;3;4;7;113;75;188;59
28;2020-05-13;0;0;0;77;72;149;69
28;2020-05-13;1;1;2;58;68;126;79
28;2020-05-13;3;2;5;66;42;109;89
28;2020-05-13;7;2;9;49;21;70;90
28;2020-05-13;21;16;37;769;592;1364;0
32;2020-05-13;0;0;0;56;31;87;09
32;2020-05-13;2;0;2;53;68;122;19
32;2020-05-13;4;0;4;185;107;292;29
32;2020-05-13;9;4;13;233;140;373;39
32;2020-05-13;1;8;9;236;163;399;49
32;2020-05-13;1;4;5;213;142;356;59
32;2020-05-13;6;8;14;145;162;307;69
32;2020-05-13;4;5;9;123;100;224;79
32;2020-05-13;7;5;12;193;80;274;89
32;2020-05-13;4;3;7;139;51;190;90
32;2020-05-13;40;38;78;1592;1050;2646;0
44;2020-05-13;2;2;4;56;49;105;09
44;2020-05-13;4;2;6;64;83;148;19
44;2020-05-13;9;6;15;271;213;485;29
44;2020-05-13;13;7;20;312;206;518;39
44;2020-05-13;10;2;12;323;253;576;49
44;2020-05-13;17;9;26;356;266;622;59
44;2020-05-13;7;10;17;270;259;530;69
44;2020-05-13;4;7;11;220;209;430;79
44;2020-05-13;19;8;27;338;162;500;89
44;2020-05-13;9;4;13;239;65;305;90
44;2020-05-13;94;57;151;2461;1771;4237;0
52;2020-05-13;0;0;0;41;41;90;09
52;2020-05-13;0;0;0;47;43;92;19
52;2020-05-13;3;0;3;99;85;189;29
52;2020-05-13;1;0;1;160;104;269;39
52;2020-05-13;4;0;4;160;108;275;49
52;2020-05-13;1;0;1;120;80;201;59
52;2020-05-13;1;1;2;68;52;121;69
52;2020-05-13;2;1;3;67;43;112;79
52;2020-05-13;5;1;6;81;56;141;89
52;2020-05-13;2;0;2;93;33;127;90
52;2020-05-13;19;3;22;942;650;1629;0
53;2020-05-13;2;0;2;29;29;62;09
53;2020-05-13;1;0;1;31;26;60;19
53;2020-05-13;0;0;0;76;59;136;29
53;2020-05-13;1;1;2;95;52;147;39
53;2020-05-13;0;1;1;85;62;147;49
53;2020-05-13;2;0;2;78;54;132;59
53;2020-05-13;0;1;1;42;51;93;69
53;2020-05-13;0;0;0;40;46;86;79
53;2020-05-13;1;0;1;46;25;71;89
53;2020-05-13;0;0;0;40;13;53;90
53;2020-05-13;7;3;10;565;422;995;0
75;2020-05-13;0;0;0;67;66;135;09
75;2020-05-13;1;0;1;82;79;162;19
75;2020-05-13;6;4;10;238;139;379;29
75;2020-05-13;2;3;5;298;166;464;39
75;2020-05-13;8;3;11;339;177;517;49
75;2020-05-13;5;0;5;279;158;437;59
75;2020-05-13;1;0;1;132;132;266;69
75;2020-05-13;1;0;1;110;104;214;79
75;2020-05-13;0;2;2;187;110;297;89
75;2020-05-13;2;0;2;199;73;272;90
75;2020-05-13;26;12;38;1932;1208;3148;0
76;2020-05-13;0;0;0;67;66;137;09
76;2020-05-13;0;0;0;93;91;188;19
76;2020-05-13;4;8;12;254;162;417;29
76;2020-05-13;2;4;6;316;208;524;39
76;2020-05-13;5;2;7;331;208;539;49
76;2020-05-13;5;1;6;330;223;553;59
76;2020-05-13;0;1;1;243;217;460;69
76;2020-05-13;2;3;5;205;194;399;79
76;2020-05-13;7;0;7;291;154;445;89
76;2020-05-13;10;2;12;236;74;310;90
76;2020-05-13;35;22;57;2375;1601;3985;0
84;2020-05-13;0;0;0;62;97;160;09
84;2020-05-13;3;0;3;112;100;213;19
84;2020-05-13;5;1;6;281;181;464;29
84;2020-05-13;2;1;3;372;224;597;39
84;2020-05-13;4;2;6;352;210;563;49
84;2020-05-13;5;4;9;343;240;583;59
84;2020-05-13;2;2;4;217;216;434;69
84;2020-05-13;4;4;8;211;156;367;79
84;2020-05-13;5;2;7;221;152;373;89
84;2020-05-13;8;2;10;161;55;216;90
84;2020-05-13;39;18;57;2334;1636;3977;0
93;2020-05-13;1;1;2;36;47;84;09
93;2020-05-13;0;1;1;71;82;155;19
93;2020-05-13;6;3;9;308;205;515;29
93;2020-05-13;6;3;9;385;247;635;39
93;2020-05-13;3;4;7;497;236;737;49
93;2020-05-13;7;3;10;523;312;841;59
93;2020-05-13;2;4;6;322;262;592;69
93;2020-05-13;8;6;14;191;209;407;79
93;2020-05-13;8;8;16;309;159;478;89
93;2020-05-13;6;5;11;284;68;353;90
93;2020-05-13;48;38;86;2939;1829;4813;0
94;2020-05-13;0;0;0;1;4;5;09
94;2020-05-13;0;0;0;10;1;11;19
94;2020-05-13;1;0;1;40;16;56;29
94;2020-05-13;2;2;4;54;43;97;39
94;2020-05-13;0;0;0;33;23;56;49
94;2020-05-13;0;0;0;37;23;60;59
94;2020-05-13;0;1;1;22;18;40;69
94;2020-05-13;0;0;0;11;13;24;79
94;2020-05-13;0;0;0;5;5;10;89
94;2020-05-13;0;0;0;1;1;2;90
94;2020-05-13;3;3;6;214;149;363;0
01;2020-05-14;0;0;0;2;1;3;09
01;2020-05-14;0;0;0;1;4;6;19
01;2020-05-14;0;0;0;6;3;11;29
01;2020-05-14;0;0;0;5;9;17;39
01;2020-05-14;0;0;0;7;3;13;49
01;2020-05-14;0;0;0;4;5;10;59
01;2020-05-14;0;0;0;3;3;7;69
01;2020-05-14;0;0;0;2;4;6;79
01;2020-05-14;0;0;0;1;0;1;89
01;2020-05-14;0;0;0;0;0;0;90
01;2020-05-14;0;0;0;31;32;74;0
02;2020-05-14;0;0;4;4;5;17;09
02;2020-05-14;0;0;0;12;10;22;19
02;2020-05-14;0;0;0;24;27;51;29
02;2020-05-14;0;0;0;12;10;22;39
02;2020-05-14;0;0;0;7;10;17;49
02;2020-05-14;0;0;0;22;9;31;59
02;2020-05-14;0;0;0;15;13;28;69
02;2020-05-14;0;0;0;1;3;4;79
02;2020-05-14;0;0;0;1;1;2;89
02;2020-05-14;0;0;0;1;1;2;90
02;2020-05-14;0;0;4;108;104;220;0
03;2020-05-14;0;0;0;0;0;0;09
03;2020-05-14;0;0;0;0;0;0;19
03;2020-05-14;0;0;0;0;0;0;29
03;2020-05-14;0;0;0;0;0;0;39
03;2020-05-14;0;0;0;0;0;0;49
03;2020-05-14;0;0;0;1;0;1;59
03;2020-05-14;0;0;0;1;0;1;69
03;2020-05-14;0;0;0;0;0;0;79
03;2020-05-14;0;0;0;0;0;0;89
03;2020-05-14;0;0;0;0;0;0;90
03;2020-05-14;0;0;0;2;0;2;0
04;2020-05-14;0;0;0;5;2;7;09
04;2020-05-14;0;0;0;5;11;16;19
04;2020-05-14;0;0;0;13;14;28;29
04;2020-05-14;0;0;0;18;19;37;39
04;2020-05-14;0;0;0;22;13;35;49
04;2020-05-14;0;0;0;21;24;45;59
04;2020-05-14;1;0;1;18;25;43;69
04;2020-05-14;0;0;0;16;7;23;79
04;2020-05-14;0;0;0;6;4;10;89
04;2020-05-14;0;0;0;1;1;2;90
04;2020-05-14;1;0;1;125;120;246;0
05;2020-05-14;0;0;0;0;0;0;09
05;2020-05-14;0;0;0;0;0;0;19
05;2020-05-14;0;0;0;0;0;0;29
05;2020-05-14;0;0;0;0;0;0;39
05;2020-05-14;0;0;0;0;0;0;49
05;2020-05-14;0;0;0;0;0;0;59
05;2020-05-14;0;0;0;0;0;0;69
05;2020-05-14;0;0;0;0;0;0;79
05;2020-05-14;0;0;0;0;0;0;89
05;2020-05-14;0;0;0;0;0;0;90
05;2020-05-14;0;0;0;0;0;0;0
06;2020-05-14;0;0;0;0;0;0;09
06;2020-05-14;0;0;0;0;0;0;19
06;2020-05-14;1;0;1;7;4;11;29
06;2020-05-14;2;0;2;4;0;4;39
06;2020-05-14;2;1;3;7;3;10;49
06;2020-05-14;1;1;2;1;3;4;59
06;2020-05-14;1;0;1;1;4;5;69
06;2020-05-14;0;0;0;0;0;0;79
06;2020-05-14;0;0;0;0;0;0;89
06;2020-05-14;0;0;0;0;0;0;90
06;2020-05-14;7;2;9;20;14;34;0
07;2020-05-14;0;0;0;0;0;0;09
07;2020-05-14;0;0;0;0;0;0;19
07;2020-05-14;0;0;0;0;0;0;29
07;2020-05-14;0;0;0;0;0;0;39
07;2020-05-14;0;0;0;0;0;0;49
07;2020-05-14;0;0;0;0;0;0;59
07;2020-05-14;0;0;0;0;0;0;69
07;2020-05-14;0;0;0;0;0;0;79
07;2020-05-14;0;0;0;0;0;0;89
07;2020-05-14;0;0;0;0;0;0;90
07;2020-05-14;0;0;0;0;0;0;0
08;2020-05-14;0;0;0;0;0;0;09
08;2020-05-14;0;0;0;0;0;0;19
08;2020-05-14;0;0;0;0;0;0;29
08;2020-05-14;0;0;0;0;0;0;39
08;2020-05-14;0;0;0;0;0;0;49
08;2020-05-14;0;0;0;0;0;0;59
08;2020-05-14;0;0;0;1;0;1;69
08;2020-05-14;0;0;0;0;0;0;79
08;2020-05-14;0;0;0;0;1;1;89
08;2020-05-14;0;0;0;0;0;0;90
08;2020-05-14;0;0;0;1;1;2;0
11;2020-05-14;2;3;5;97;131;230;09
11;2020-05-14;4;9;15;150;176;332;19
11;2020-05-14;18;14;33;603;383;997;29
11;2020-05-14;26;23;49;742;518;1268;39
11;2020-05-14;19;23;44;730;501;1237;49
11;2020-05-14;30;13;44;734;533;1269;59
11;2020-05-14;9;19;34;484;443;934;69
11;2020-05-14;9;14;23;324;358;683;79
11;2020-05-14;30;14;47;361;220;585;89
11;2020-05-14;27;3;30;313;80;393;90
11;2020-05-14;182;136;335;4673;3436;8166;0
24;2020-05-14;2;0;2;20;34;54;09
24;2020-05-14;0;0;0;40;39;79;19
24;2020-05-14;1;2;3;119;72;191;29
24;2020-05-14;2;1;3;127;70;197;39
24;2020-05-14;3;3;6;113;111;224;49
24;2020-05-14;1;1;2;125;83;208;59
24;2020-05-14;1;1;2;90;73;163;69
24;2020-05-14;3;0;3;66;67;133;79
24;2020-05-14;4;3;7;87;54;141;89
24;2020-05-14;3;2;5;74;30;104;90
24;2020-05-14;20;13;33;864;636;1500;0
27;2020-05-14;1;0;1;32;28;60;09
27;2020-05-14;0;2;2;50;33;84;19
27;2020-05-14;0;1;1;132;80;212;29
27;2020-05-14;2;4;6;175;118;293;39
27;2020-05-14;1;0;1;143;84;227;49
27;2020-05-14;2;0;2;184;114;298;59
27;2020-05-14;0;2;2;115;101;217;69
27;2020-05-14;1;2;3;91;99;190;79
27;2020-05-14;3;5;8;108;74;182;89
27;2020-05-14;5;1;6;92;24;116;90
27;2020-05-14;16;17;33;1133;764;1899;0
28;2020-05-14;0;0;0;33;39;75;09
28;2020-05-14;0;0;0;37;33;70;19
28;2020-05-14;1;0;1;108;58;166;29
28;2020-05-14;3;1;4;119;74;193;39
28;2020-05-14;1;1;2;122;80;202;49
28;2020-05-14;4;2;6;121;76;197;59
28;2020-05-14;0;2;2;80;76;156;69
28;2020-05-14;1;1;2;83;74;157;79
28;2020-05-14;1;4;5;77;49;126;89
28;2020-05-14;2;0;2;42;17;59;90
28;2020-05-14;15;11;26;844;591;1438;0
32;2020-05-14;1;0;1;41;45;87;09
32;2020-05-14;1;1;2;72;50;122;19
32;2020-05-14;5;3;8;269;125;394;29
32;2020-05-14;4;3;7;334;171;506;39
32;2020-05-14;6;4;10;333;170;504;49
32;2020-05-14;11;11;22;304;190;494;59
32;2020-05-14;4;3;7;204;168;372;69
32;2020-05-14;3;3;6;165;135;300;79
32;2020-05-14;12;3;15;279;112;391;89
32;2020-05-14;14;2;16;276;54;330;90
32;2020-05-14;62;35;97;2317;1249;3569;0
44;2020-05-14;0;0;0;46;73;121;09
44;2020-05-14;0;1;1;97;112;210;19
44;2020-05-14;5;7;12;325;201;527;29
44;2020-05-14;9;0;9;353;246;600;39
44;2020-05-14;6;9;15;365;240;605;49
44;2020-05-14;5;10;15;408;298;707;59
44;2020-05-14;5;1;6;274;250;524;69
44;2020-05-14;7;4;11;217;227;444;79
44;2020-05-14;13;13;26;312;182;494;89
44;2020-05-14;12;2;14;232;64;296;90
44;2020-05-14;62;48;110;2649;1912;4567;0
52;2020-05-14;0;0;0;44;45;93;09
52;2020-05-14;1;0;1;59;56;119;19
52;2020-05-14;3;2;5;170;108;286;29
52;2020-05-14;2;1;3;218;92;314;39
52;2020-05-14;2;1;3;208;108;322;49
52;2020-05-14;0;1;1;180;81;263;59
52;2020-05-14;1;0;1;85;58;145;69
52;2020-05-14;1;2;3;55;58;116;79
52;2020-05-14;4;4;8;91;63;158;89
52;2020-05-14;0;0;0;48;22;70;90
52;2020-05-14;14;11;25;1187;709;1934;0
53;2020-05-14;1;1;2;39;69;111;09
53;2020-05-14;1;1;2;37;34;71;19
53;2020-05-14;0;1;1;83;58;141;29
53;2020-05-14;1;1;2;129;99;228;39
53;2020-05-14;2;3;5;89;67;156;49
53;2020-05-14;1;2;3;95;67;162;59
53;2020-05-14;0;1;1;66;50;116;69
53;2020-05-14;0;0;0;50;36;86;79
53;2020-05-14;1;0;1;44;25;69;89
53;2020-05-14;0;0;0;29;13;66;90
53;2020-05-14;7;10;17;665;522;1214;0
75;2020-05-14;0;0;0;59;67;127;09
75;2020-05-14;1;1;2;67;74;142;19
75;2020-05-14;0;0;0;251;115;366;29
75;2020-05-14;2;2;4;255;172;428;39
75;2020-05-14;5;1;6;272;172;445;49
75;2020-05-14;2;1;3;261;135;396;59
75;2020-05-14;2;0;2;126;130;256;69
75;2020-05-14;2;1;3;110;110;220;79
75;2020-05-14;0;0;0;149;107;256;89
75;2020-05-14;2;1;3;142;42;184;90
75;2020-05-14;16;7;23;1705;1134;2843;0
76;2020-05-14;0;0;0;52;92;149;09
76;2020-05-14;0;2;3;103;78;182;19
76;2020-05-14;4;25;29;292;229;523;29
76;2020-05-14;0;5;5;315;202;517;39
76;2020-05-14;3;0;4;369;214;584;49
76;2020-05-14;5;3;9;334;213;550;59
76;2020-05-14;1;3;10;222;221;449;69
76;2020-05-14;2;1;3;215;200;416;79
76;2020-05-14;5;4;12;263;165;431;89
76;2020-05-14;10;2;12;194;55;249;90
76;2020-05-14;30;46;88;2390;1690;4102;0
84;2020-05-14;0;1;1;97;135;234;09
84;2020-05-14;5;5;10;137;115;252;19
84;2020-05-14;9;4;13;362;235;597;29
84;2020-05-14;5;5;10;438;276;714;39
84;2020-05-14;10;3;13;388;246;634;49
84;2020-05-14;4;4;8;427;276;704;59
84;2020-05-14;4;4;8;267;222;490;69
84;2020-05-14;5;8;13;218;180;398;79
84;2020-05-14;12;4;16;255;151;406;89
84;2020-05-14;9;2;11;185;58;243;90
84;2020-05-14;63;40;103;2800;1908;4712;0
93;2020-05-14;1;0;2;54;68;124;09
93;2020-05-14;1;3;4;81;64;147;19
93;2020-05-14;6;2;8;319;199;528;29
93;2020-05-14;4;4;8;385;254;645;39
93;2020-05-14;5;4;9;426;289;722;49
93;2020-05-14;5;4;9;485;334;830;59
93;2020-05-14;4;4;8;304;355;666;69
93;2020-05-14;4;7;11;270;288;567;79
93;2020-05-14;7;7;14;272;196;471;89
93;2020-05-14;17;1;18;218;92;311;90
93;2020-05-14;54;37;92;2866;2154;5078;0
94;2020-05-14;0;0;0;2;1;3;09
94;2020-05-14;0;0;0;12;6;18;19
94;2020-05-14;0;0;0;24;10;34;29
94;2020-05-14;1;0;1;23;13;36;39
94;2020-05-14;0;0;0;31;22;53;49
94;2020-05-14;1;0;1;39;20;59;59
94;2020-05-14;0;0;0;24;21;45;69
94;2020-05-14;0;0;0;15;19;34;79
94;2020-05-14;1;0;1;13;12;25;89
94;2020-05-14;0;0;0;4;2;6;90
94;2020-05-14;3;0;3;188;128;316;0
01;2020-05-15;0;0;0;1;0;1;09
01;2020-05-15;0;0;0;2;2;4;19
01;2020-05-15;0;0;0;11;7;19;29
01;2020-05-15;0;0;0;5;7;12;39
01;2020-05-15;0;0;0;2;2;4;49
01;2020-05-15;0;0;0;4;5;9;59
01;2020-05-15;0;0;0;10;5;15;69
01;2020-05-15;0;0;0;3;6;9;79
01;2020-05-15;0;0;0;3;3;6;89
01;2020-05-15;0;0;0;0;0;0;90
01;2020-05-15;0;0;0;41;37;79;0
02;2020-05-15;0;0;0;1;2;3;09
02;2020-05-15;0;0;0;3;3;6;19
02;2020-05-15;0;0;0;20;13;33;29
02;2020-05-15;0;0;0;10;9;19;39
02;2020-05-15;0;0;0;10;8;18;49
02;2020-05-15;0;0;0;9;15;24;59
02;2020-05-15;0;0;0;9;8;17;69
02;2020-05-15;0;0;0;11;5;16;79
02;2020-05-15;0;0;0;5;2;7;89
02;2020-05-15;0;0;0;1;2;3;90
02;2020-05-15;0;0;0;79;67;146;0
03;2020-05-15;0;0;0;0;0;0;09
03;2020-05-15;0;0;0;0;1;1;19
03;2020-05-15;0;0;0;0;0;0;29
03;2020-05-15;0;0;0;0;1;1;39
03;2020-05-15;0;0;0;0;0;0;49
03;2020-05-15;0;0;0;0;0;0;59
03;2020-05-15;0;0;0;0;1;1;69
03;2020-05-15;0;0;0;0;1;1;79
03;2020-05-15;0;0;0;0;0;0;89
03;2020-05-15;0;0;0;0;0;0;90
03;2020-05-15;0;0;0;0;4;4;0
04;2020-05-15;0;0;0;5;4;9;09
04;2020-05-15;1;0;1;19;13;33;19
04;2020-05-15;0;0;0;49;36;85;29
04;2020-05-15;0;0;0;45;32;77;39
04;2020-05-15;0;0;0;34;39;73;49
04;2020-05-15;0;0;0;38;33;71;59
04;2020-05-15;0;0;0;50;43;93;69
04;2020-05-15;0;0;0;26;24;50;79
04;2020-05-15;0;0;0;15;12;27;89
04;2020-05-15;0;0;0;1;0;1;90
04;2020-05-15;1;0;1;282;236;519;0
05;2020-05-15;0;0;0;0;0;0;09
05;2020-05-15;0;0;0;0;0;0;19
05;2020-05-15;0;0;0;0;0;0;29
05;2020-05-15;0;0;0;0;0;0;39
05;2020-05-15;0;0;0;0;0;0;49
05;2020-05-15;0;0;0;0;0;0;59
05;2020-05-15;0;0;0;0;0;0;69
05;2020-05-15;0;0;0;0;1;1;79
05;2020-05-15;0;0;0;0;0;0;89
05;2020-05-15;0;0;0;0;0;0;90
05;2020-05-15;0;0;0;0;1;1;0
06;2020-05-15;0;0;0;0;1;3;09
06;2020-05-15;0;0;0;0;0;0;19
06;2020-05-15;0;0;0;3;1;4;29
06;2020-05-15;2;5;7;7;10;17;39
06;2020-05-15;1;1;2;6;5;11;49
06;2020-05-15;1;1;2;4;1;5;59
06;2020-05-15;0;1;1;0;4;4;69
06;2020-05-15;0;0;0;0;0;0;79
06;2020-05-15;0;0;0;0;0;0;89
06;2020-05-15;0;0;0;0;0;0;90
06;2020-05-15;4;8;12;20;22;44;0
07;2020-05-15;0;0;0;0;0;0;09
07;2020-05-15;0;0;0;0;0;0;19
07;2020-05-15;0;0;0;0;0;0;29
07;2020-05-15;0;0;0;0;0;0;39
07;2020-05-15;0;0;0;0;0;0;49
07;2020-05-15;0;0;0;0;0;0;59
07;2020-05-15;0;0;0;0;0;0;69
07;2020-05-15;0;0;0;0;0;0;79
07;2020-05-15;0;0;0;0;0;0;89
07;2020-05-15;0;0;0;0;0;0;90
07;2020-05-15;0;0;0;0;0;0;0
08;2020-05-15;0;0;0;0;0;0;09
08;2020-05-15;0;0;0;0;0;0;19
08;2020-05-15;0;0;0;1;0;1;29
08;2020-05-15;0;0;0;0;0;0;39
08;2020-05-15;0;0;0;1;0;1;49
08;2020-05-15;0;0;0;1;1;2;59
08;2020-05-15;0;0;0;0;1;1;69
08;2020-05-15;0;0;0;0;0;0;79
08;2020-05-15;0;0;0;0;0;0;89
08;2020-05-15;0;0;0;0;0;0;90
08;2020-05-15;0;0;0;3;2;5;0
11;2020-05-15;1;2;3;163;169;383;09
11;2020-05-15;5;6;11;198;200;408;19
11;2020-05-15;18;16;36;619;474;1097;29
11;2020-05-15;15;15;31;828;578;1418;39
11;2020-05-15;19;13;33;755;583;1341;49
11;2020-05-15;19;16;36;751;630;1389;59
11;2020-05-15;11;15;26;570;496;1070;69
11;2020-05-15;10;12;24;366;371;741;79
11;2020-05-15;31;14;48;390;222;619;89
11;2020-05-15;19;3;24;294;60;356;90
11;2020-05-15;148;112;273;4940;3788;8839;0
24;2020-05-15;3;0;3;29;30;60;09
24;2020-05-15;2;2;4;46;37;84;19
24;2020-05-15;1;1;2;161;147;308;29
24;2020-05-15;7;2;9;178;109;287;39
24;2020-05-15;3;4;7;152;101;253;49
24;2020-05-15;3;2;5;169;105;274;59
24;2020-05-15;3;2;5;108;116;224;69
24;2020-05-15;3;1;4;91;90;181;79
24;2020-05-15;5;3;8;84;67;151;89
24;2020-05-15;4;2;6;65;35;100;90
24;2020-05-15;35;19;54;1086;838;1926;0
27;2020-05-15;0;0;0;39;53;95;09
27;2020-05-15;0;1;1;45;52;97;19
27;2020-05-15;3;2;5;144;103;247;29
27;2020-05-15;5;0;5;181;118;300;39
27;2020-05-15;3;1;4;218;127;345;49
27;2020-05-15;2;3;5;186;136;322;59
27;2020-05-15;1;5;6;133;123;256;69
27;2020-05-15;6;4;10;128;132;260;79
27;2020-05-15;14;3;17;228;109;337;89
27;2020-05-15;7;3;10;230;52;282;90
27;2020-05-15;41;22;64;1535;1007;2547;0
28;2020-05-15;0;0;0;43;71;116;09
28;2020-05-15;0;0;0;71;51;124;19
28;2020-05-15;2;0;2;168;85;253;29
28;2020-05-15;2;1;3;170;112;282;39
28;2020-05-15;3;1;4;164;105;270;49
28;2020-05-15;2;0;2;159;110;269;59
28;2020-05-15;1;1;2;125;118;243;69
28;2020-05-15;1;0;1;93;105;198;79
28;2020-05-15;6;1;7;104;64;168;89
28;2020-05-15;0;2;2;44;30;74;90
28;2020-05-15;17;6;23;1167;873;2045;0
32;2020-05-15;1;1;2;50;62;114;09
32;2020-05-15;2;2;5;106;97;204;19
32;2020-05-15;5;0;5;271;160;431;29
32;2020-05-15;4;0;5;279;210;491;39
32;2020-05-15;2;9;12;298;212;514;49
32;2020-05-15;5;5;10;322;220;542;59
32;2020-05-15;1;3;4;198;161;359;69
32;2020-05-15;6;5;11;152;169;322;79
