alpha;Q1;Q2;$Q3 : a^{max}_x$;$Q3 : a^{max}_y$;$Q3 : a^{max}_z$;$Q6 : v^{max}_x$;$Q6 : v^{max}_y$;$Q6 : v^{max}_z$;$Q7 : v^{moy}_x$;$Q7 : v^{moy}_y$;$Q7 : v^{moy}_z$;$Q8 : a^{max}_x$;$Q8 : a^{max}_y$;$Q8 : a^{max}_z$;$Q9 : v^{max}_x$;$Q9 : v^{max}_y$;$Q9 : v^{max}_z$;$Q11 : x^{max}$;$Q11 : y^{max}$;$Q11 : z^{max}$
23;1085;2.916;6.471;16.431;7.059;463.118;9648.412;1117.412;0.423;8.909;1.069;6.047;7.522;5.990;140.505;7.369;164.535;20036.882;0.035;45401.691
24;868;2.333;6.353;13.608;7.098;304.431;7645.490;831.255;0.344;8.820;0.957;6.009;4.788;6.141;113.634;12.821;142.054;13314.991;0.047;38456.280
25;4340;11.684;17.608;7.098;6.784;38290.608;4147.843;1513.902;8.778;1.227;0.284;8.830;5.871;6.500;202.542;386.121;681.251;406669.086;87028.716;853914.435
26;2170;5.843;16.431;7.059;6.863;19309.725;2240.745;930.118;8.871;1.340;0.572;7.560;5.719;6.291;68.345;172.109;124.199;66632.614;8059.831;0
27;1447;3.882;17.529;6.863;6.510;12648.667;1267.804;395.176;8.759;1.069;0.368;8.770;5.794;6.142;9.763;158.730;115.602;0;26108.471;0
28;1085;2.912;16.235;6.863;6.275;9435.863;904.863;259.510;8.713;0.873;0.227;7.522;5.990;6.047;7.502;164.693;140.527;0.035;45551.152;20048.119
29;868;2.330;13.725;7.216;6.471;7747.490;933.255;406.431;8.937;1.074;0.462;4.788;6.141;6.009;12.768;142.071;113.629;0.047;38483.988;13310.497
30;4340;11.667;7.059;6.745;17.569;3977.686;1343.745;38120.451;1.187;0.245;8.739;5.871;6.500;8.829;386.138;681.608;201.146;87052.161;855514.601;403638.957
31;2170;5.834;7.020;6.824;16.392;2155.686;845.059;19224.667;1.300;0.531;8.833;5.720;6.292;7.559;172.360;126.037;67.133;8153.836;0;64680.532
32;1447;3.889;6.980;6.627;17.647;1437.922;565.294;12818.784;1.188;0.493;8.877;5.792;6.134;8.770;158.250;110.282;9.493;25769.049;0;0
33;1085;2.917;6.941;6.353;16.314;989.882;335.588;9520.882;0.952;0.306;8.791;5.990;6.047;7.522;164.535;140.505;7.369;45401.691;20036.882;0.035
34;868;2.334;7.216;6.471;13.725;933.255;406.431;7747.490;1.075;0.462;8.937;6.141;6.009;4.788;142.054;113.634;12.821;38456.280;13314.991;0.047
35;4340;11.688;6.667;17.490;6.980;1031.196;37780.137;3637.373;0.167;8.661;1.109;6.500;8.830;5.871;681.251;202.542;386.121;853914.435;406669.086;87028.716
36;2170;5.825;6.706;16.275;6.902;589.882;18969.490;1900.510;0.412;8.715;1.182;6.294;7.560;5.720;127.707;67.338;172.794;0;65079.968;8316.732
37;1447;3.884;6.667;17.686;7.020;622.000;12875.490;1494.627;0.525;8.916;1.226;6.142;8.770;5.794;115.602;9.763;158.730;0;0;26108.471
38;1085;2.913;6.392;16.353;6.980;378.098;9563.392;1032.392;0.345;8.830;0.990;6.047;7.522;5.990;140.527;7.502;164.693;20048.119;0.035;45551.152
39;868;2.331;6.353;13.608;7.098;304.431;7645.490;831.255;0.344;8.820;0.957;6.009;4.788;6.141;113.629;12.768;142.071;13310.497;0.047;38483.988
40;4340;11.671;17.686;7.176;6.863;38630.922;4488.157;1854.216;8.857;1.305;0.363;8.829;5.871;6.500;201.146;386.138;681.608;403638.957;87052.161;855514.601
41;2170;5.836;16.275;6.902;6.706;18969.490;1900.510;589.882;8.715;1.182;0.413;7.559;5.720;6.292;67.133;172.360;126.037;64680.532;8153.836;0
42;1447;3.891;17.490;6.824;6.471;12591.961;1211.098;345.706;8.722;1.033;0.343;8.769;5.791;6.127;8.329;157.666;105.612;0;25356.804;0
43;1085;2.918;16.471;7.098;6.510;9690.922;1159.922;505.627;8.948;1.109;0.462;7.522;5.990;6.047;7.369;164.535;140.505;0.035;45401.691;20036.882
44;868;2.335;13.569;7.059;6.314;7611.490;797.255;270.431;8.780;0.918;0.305;4.788;6.141;6.009;12.821;142.054;113.634;0.047;38456.280;13314.991
45;4340;11.654;7.137;6.824;17.647;4318.000;1684.059;38460.765;1.266;0.323;8.818;5.872;6.500;8.829;386.277;682.182;199.981;87244.360;858093.609;401108.449
46;2170;5.827;7.020;6.824;16.392;2155.686;845.059;19224.667;1.299;0.530;8.833;5.720;6.294;7.560;172.794;127.707;67.338;8316.732;0;65079.968
47;1447;3.885;6.902;6.549;17.569;1324.510;451.882;12705.373;1.108;0.407;8.798;5.794;6.142;8.770;158.730;115.602;9.763;26108.471;0;0
48;1085;2.914;7.098;6.510;16.471;1159.922;505.627;9690.922;1.108;0.462;8.948;5.990;6.047;7.522;164.693;140.527;7.502;45551.152;20048.119;0.035
49;868;2.332;6.980;6.235;13.490;729.255;208.608;7543.490;0.839;0.226;8.702;6.141;6.009;4.788;142.071;113.629;12.768;38483.988;13310.497;0.047
50;4340;11.675;6.706;17.529;7.020;1173.588;37950.294;3807.529;0.206;8.700;1.148;6.500;8.830;5.871;681.251;202.542;386.121;853914.435;406669.086;87028.716
51;2170;5.838;6.863;16.431;7.059;930.118;19309.725;2240.745;0.572;8.871;1.340;6.291;7.560;5.719;124.199;68.345;172.109;0;66632.614;8059.831
52;1447;3.892;6.588;17.608;6.941;508.588;12762.078;1381.216;0.461;8.839;1.150;6.127;8.769;5.791;105.612;8.329;157.666;0;0;25356.804
53;1085;2.919;6.392;16.353;6.980;378.098;9563.392;1032.392;0.344;8.831;0.991;6.048;7.522;5.989;140.732;7.203;164.391;20154.085;0.034;45266.851
54;868;2.328;6.431;13.686;7.176;372.431;7713.490;899.255;0.423;8.898;1.035;6.009;4.788;6.141;113.492;12.816;142.076;13187.471;0.047;38491.864
55;4340;11.658;17.529;7.020;6.706;37950.294;3807.529;1173.588;8.700;1.148;0.205;8.829;5.872;6.500;199.981;386.277;682.182;401108.449;87244.360;858093.609
56;2170;5.830;16.235;6.863;6.667;18884.431;1815.451;517.784;8.676;1.142;0.373;7.560;5.720;6.294;67.338;172.794;127.707;65079.968;8316.732;0
57;1447;3.886;17.725;7.059;6.706;12932.196;1551.333;678.706;8.955;1.266;0.572;8.770;5.792;6.134;9.493;158.250;110.282;0;25769.049;0
58;1085;2.915;16.314;6.941;6.353;9520.882;989.882;335.588;8.791;0.952;0.306;7.522;5.990;6.047;7.369;164.535;140.505;0.035;45401.691;20036.882
59;868;2.333;13.647;7.137;6.392;7679.490;865.255;338.431;8.859;0.996;0.383;4.788;6.141;6.009;12.821;142.054;113.634;0.047;38456.280;13314.991
60;4340;11.680;7.137;6.824;17.647;4318.000;1684.059;38460.765;1.266;0.324;8.817;5.871;6.500;8.830;386.121;681.251;202.542;87028.716;853914.435;406669.086
61;2170;5.841;6.941;6.745;16.314;1985.569;674.941;19054.549;1.222;0.454;8.753;5.719;6.291;7.560;172.109;124.199;68.345;8059.831;0;66632.614
62;1447;3.894;7.059;6.706;17.725;1551.333;678.706;12932.196;1.268;0.579;8.957;5.791;6.127;8.769;157.666;105.612;8.329;25356.804;0;0
63;1085;2.911;6.863;6.275;16.235;904.863;259.510;9435.863;0.873;0.227;8.713;5.990;6.047;7.522;164.693;140.527;7.502;45551.152;20048.119;0.035
64;868;2.329;7.020;6.275;13.529;763.255;236.431;7577.490;0.878;0.266;8.741;6.141;6.009;4.788;142.071;113.629;12.768;38483.988;13310.497;0.047
65;4340;11.662;6.863;17.686;7.176;1854.216;38630.922;4488.157;0.363;8.857;1.305;6.500;8.829;5.871;681.608;201.146;386.138;855514.601;403638.957;87052.161
66;2170;5.832;6.784;16.353;6.980;760.000;19139.608;2070.627;0.492;8.794;1.261;6.292;7.559;5.720;126.037;67.133;172.360;0;64680.532;8153.836
67;1447;3.888;6.588;17.608;6.941;508.588;12762.078;1381.216;0.454;8.838;1.149;6.134;8.770;5.792;110.282;9.493;158.250;0;0;25769.049
68;1085;2.916;6.471;16.431;7.059;463.118;9648.412;1117.412;0.423;8.909;1.069;6.047;7.522;5.990;140.505;7.369;164.535;20036.882;0.035;45401.691
69;868;2.333;6.275;13.529;7.020;236.431;7577.490;763.255;0.266;8.741;0.878;6.009;4.788;6.141;113.634;12.821;142.054;13314.991;0.047;38456.280
70;4340;11.684;17.490;6.980;6.667;37780.137;3637.373;1031.196;8.661;1.109;0.167;8.830;5.871;6.500;202.542;386.121;681.251;406669.086;87028.716;853914.435
71;2170;5.843;16.471;7.098;6.902;19394.784;2325.804;1015.176;8.910;1.379;0.611;7.560;5.719;6.291;68.345;172.109;124.199;66632.614;8059.831;0
72;1447;3.882;17.569;6.902;6.549;12705.373;1324.510;451.882;8.798;1.108;0.407;8.770;5.794;6.142;9.763;158.730;115.602;0;26108.471;0
73;1085;2.912;16.392;7.020;6.431;9605.902;1074.902;420.608;8.870;1.030;0.384;7.522;5.990;6.047;7.502;164.693;140.527;0.035;45551.152;20048.119
74;868;2.330;13.647;7.137;6.392;7679.490;865.255;338.431;8.859;0.996;0.383;4.788;6.141;6.009;12.768;142.071;113.629;0.047;38483.988;13310.497
75;4340;11.667;7.059;6.745;17.569;3977.686;1343.745;38120.451;1.187;0.245;8.739;5.871;6.500;8.829;386.138;681.608;201.146;87052.161;855514.601;403638.957
76;2170;5.834;7.098;6.902;16.471;2325.804;1015.176;19394.784;1.378;0.610;8.911;5.720;6.292;7.559;172.360;126.037;67.133;8153.836;0;64680.532
77;1447;3.889;6.824;6.471;17.490;1211.098;345.706;12591.961;1.031;0.337;8.720;5.792;6.134;8.770;158.250;110.282;9.493;25769.049;0;0
78;1085;2.917;6.902;6.314;16.275;947.373;293.078;9478.373;0.912;0.266;8.752;5.990;6.047;7.522;164.535;140.505;7.369;45401.691;20036.882;0.035
79;868;2.334;7.176;6.431;13.686;899.255;372.431;7713.490;1.035;0.422;8.898;6.141;6.009;4.788;142.054;113.634;12.821;38456.280;13314.991;0.047
80;4340;11.688;6.784;17.608;7.098;1513.902;38290.608;4147.843;0.284;8.778;1.227;6.500;8.830;5.871;681.251;202.542;386.121;853914.435;406669.086;87028.716
81;2170;5.825;6.784;16.353;6.980;760.000;19139.608;2070.627;0.490;8.793;1.260;6.294;7.560;5.720;127.707;67.338;172.794;0;65079.968;8316.732
82;1447;3.884;6.667;17.686;7.020;622.000;12875.490;1494.627;0.525;8.916;1.226;6.142;8.770;5.794;115.602;9.763;158.730;0;0;26108.471
83;1085;2.913;6.314;16.275;6.902;293.078;9478.373;947.373;0.266;8.752;0.912;6.047;7.522;5.990;140.527;7.502;164.693;20048.119;0.035;45551.152
84;868;2.331;6.235;13.490;6.980;208.608;7543.490;729.255;0.226;8.702;0.839;6.009;4.788;6.141;113.629;12.768;142.071;13310.497;0.047;38483.988
85;4340;11.671;17.725;7.216;6.902;38801.078;4658.314;2024.373;8.896;1.344;0.402;8.829;5.871;6.500;201.146;386.138;681.608;403638.957;87052.161;855514.601
86;2170;5.836;16.314;6.941;6.745;19054.549;1985.569;674.941;8.754;1.222;0.453;7.559;5.720;6.292;67.133;172.360;126.037;64680.532;8153.836;0
87;1447;3.891;17.647;6.980;6.627;12818.784;1437.922;565.294;8.878;1.190;0.500;8.769;5.791;6.127;8.329;157.666;105.612;0;25356.804;0
88;1085;2.918;16.392;7.020;6.431;9605.902;1074.902;420.608;8.870;1.030;0.384;7.522;5.990;6.047;7.369;164.535;140.505;0.035;45401.691;20036.882
89;868;2.335;13.569;7.059;6.314;7611.490;797.255;270.431;8.780;0.918;0.305;4.788;6.141;6.009;12.821;142.054;113.634;0.047;38456.280;13314.991
90;4340;11.654;7.216;6.902;17.725;4658.314;2024.373;38801.078;1.344;0.402;8.896;5.872;6.500;8.829;386.277;682.182;199.981;87244.360;858093.609;401108.449
91;2170;5.827;6.863;6.667;16.235;1815.451;517.784;18884.431;1.142;0.373;8.676;5.720;6.294;7.560;172.794;127.707;67.338;8316.732;0;65079.968
92;1447;3.885;6.863;6.510;17.529;1267.804;395.176;12648.667;1.069;0.368;8.759;5.794;6.142;8.770;158.730;115.602;9.763;26108.471;0;0
93;1085;2.914;7.059;6.471;16.431;1117.412;463.118;9648.412;1.069;0.423;8.909;5.990;6.047;7.522;164.693;140.527;7.502;45551.152;20048.119;0.035
94;868;2.332;7.098;6.353;13.608;831.255;304.431;7645.490;0.957;0.344;8.820;6.141;6.009;4.788;142.071;113.629;12.768;38483.988;13310.497;0.047
95;4340;11.675;6.784;17.608;7.098;1513.902;38290.608;4147.843;0.284;8.778;1.227;6.500;8.830;5.871;681.251;202.542;386.121;853914.435;406669.086;87028.716
96;2170;5.838;6.863;16.431;7.059;930.118;19309.725;2240.745;0.572;8.871;1.340;6.291;7.560;5.719;124.199;68.345;172.109;0;66632.614;8059.831
97;1447;3.892;6.510;17.529;6.863;395.176;12648.667;1267.804;0.382;8.761;1.072;6.127;8.769;5.791;105.612;8.329;157.666;0;0;25356.804
98;1085;2.919;6.275;16.235;6.863;259.510;9435.863;904.863;0.227;8.713;0.874;6.048;7.522;5.989;140.732;7.203;164.391;20154.085;0.034;45266.851
